Date and time,Mode,Distance,Duration,Price
2022-03-17 08:31,Bus,7.6,0.33,2.0
2022-01-31 09:45,Bus,2.3,0.08,2.0
2022-08-06 20:35,Bus,9.2,0.25,2.0
2022-08-13 15:28,Bus,0.9,0.03,2.0
2022-05-03 19:34,Bus,1.4,0.06,2.0
2022-12-11 16:26,Bus,6.0,0.31,2.0
2022-06-12 13:47,Bus,2.7,0.09,2.0
2022-10-27 16:01,Bus,3.5,0.11,2.0
2022-07-10 07:41,Bus,3.9,0.14,2.0
2022-09-06 10:52,Bus,4.5,0.18,2.0
2022-06-06 11:51,Bus,2.5,0.09,2.0
2022-10-03 20:22,Bus,1.4,0.06,2.0
2022-01-06 22:41,Bus,2.7,0.1,2.0
2022-07-03 11:10,Bus,3.3,0.19,2.0
2022-07-04 17:55,Bus,3.5,0.11,2.0
2022-03-19 14:10,Bus,3.7,0.18,2.0
2022-06-17 09:45,Bus,0.7,0.03,2.0
2022-08-20 15:37,Bus,2.4,0.08,2.0
2022-08-14 11:44,Bus,6.7,0.25,2.0
2022-03-25 22:56,Bus,6.9,0.29,2.0
2022-01-15 16:41,Bus,5.0,0.19,2.0
2022-06-24 22:28,Bus,1.2,0.04,2.0
2022-05-21 10:45,Bus,1.8,0.07,2.0
2022-07-03 20:55,Bus,2.0,0.08,2.0
2022-06-02 16:56,Bus,4.9,0.17,2.0
2022-09-03 23:58,Bus,2.8,0.07,2.0
2022-07-03 18:43,Bus,2.3,0.12,2.0
2022-09-08 21:00,Bus,3.2,0.14,2.0
2022-04-18 17:35,Bus,2.2,0.08,2.0
2022-12-10 17:23,Bus,2.0,0.11,2.0
2022-03-09 20:28,Bus,4.4,0.18,2.0
2022-07-12 18:52,Bus,4.4,0.21,2.0
2022-01-19 17:20,Bus,3.3,0.14,2.0
2022-01-26 18:15,Bus,2.7,0.12,2.0
2022-11-06 12:53,Bus,10.5,0.37,2.0
2022-07-22 18:51,Bus,0.9,0.04,2.0
2022-12-06 07:27,Bus,3.1,0.11,2.0
2022-05-28 21:32,Bus,4.2,0.18,2.0
2022-09-11 15:43,Bus,3.9,0.16,2.0
2022-04-04 08:48,Bus,4.5,0.18,2.0
2022-07-09 08:59,Bus,0.8,0.03,2.0
2022-06-16 11:53,Bus,3.5,0.13,2.0
2022-05-14 08:36,Bus,3.9,0.14,2.0
2022-06-04 10:50,Bus,1.4,0.07,2.0
2022-01-17 18:36,Bus,2.1,0.11,2.0
2022-03-08 08:24,Bus,2.7,0.11,2.0
2022-09-08 12:15,Bus,10.8,0.43,2.0
2022-06-12 13:25,Bus,0.8,0.04,2.0
2022-05-04 08:42,Bus,1.3,0.08,2.0
2022-06-16 19:16,Bus,1.0,0.04,2.0
2022-05-11 17:51,Bus,3.6,0.14,2.0
2022-07-27 11:31,Bus,7.2,0.24,2.0
2022-05-18 09:02,Bus,3.4,0.14,2.0
2022-07-29 11:31,Bus,2.6,0.13,2.0
2022-09-21 09:53,Bus,3.9,0.16,2.0
2022-08-01 16:19,Bus,2.1,0.08,2.0
2022-07-13 08:15,Bus,8.3,0.5,2.0
2022-05-07 14:58,Bus,0.7,0.04,2.0
2022-10-04 20:56,Bus,4.2,0.22,2.0
2022-06-07 11:59,Bus,10.2,0.52,2.0
2022-04-11 19:52,Bus,2.5,0.12,2.0
2022-05-24 07:24,Bus,4.0,0.24,2.0
2022-02-26 18:03,Bus,7.5,0.32,2.0
2022-04-24 15:15,Bus,1.0,0.04,2.0
2022-08-04 10:05,Bus,1.7,0.09,2.0
2022-04-08 07:02,Bus,5.2,0.22,2.0
2022-07-19 17:13,Bus,5.4,0.2,2.0
2022-05-17 19:31,Bus,3.2,0.11,2.0
2022-10-13 16:51,Bus,5.0,0.3,2.0
2022-08-26 13:22,Bus,0.9,0.03,2.0
2022-06-20 18:07,Bus,4.3,0.18,2.0
2022-10-15 15:36,Bus,2.5,0.09,2.0
2022-09-21 22:24,Bus,2.1,0.06,2.0
2022-06-16 20:20,Bus,1.2,0.04,2.0
2022-08-15 14:18,Bus,0.8,0.03,2.0
2022-06-19 12:24,Bus,0.7,0.03,2.0
2022-05-22 15:15,Bus,2.9,0.08,2.0
2022-12-03 12:31,Bus,8.2,0.31,2.0
2022-06-16 15:08,Bus,6.8,0.19,2.0
2022-10-08 13:30,Bus,2.1,0.09,2.0
2022-04-29 16:27,Bus,4.2,0.17,2.0
2022-07-20 16:36,Bus,3.0,0.13,2.0
2022-11-14 16:45,Bus,1.6,0.05,2.0
2022-11-16 15:37,Bus,1.2,0.04,2.0
2022-07-02 13:45,Bus,2.7,0.1,2.0
2022-02-24 17:39,Bus,2.7,0.11,2.0
2022-05-09 18:23,Bus,1.1,0.04,2.0
2022-07-14 18:28,Bus,7.1,0.29,2.0
2022-06-10 11:05,Bus,5.7,0.2,2.0
2022-02-11 10:13,Bus,2.7,0.08,2.0
2022-09-26 19:29,Bus,5.6,0.22,2.0
2022-07-15 20:31,Bus,3.8,0.12,2.0
2022-05-12 20:17,Bus,1.7,0.08,2.0
2022-05-30 08:09,Bus,2.5,0.1,2.0
2022-05-23 17:52,Bus,2.3,0.08,2.0
2022-06-27 20:40,Bus,3.5,0.17,2.0
2022-09-06 14:12,Bus,2.0,0.09,2.0
2022-09-03 13:14,Bus,2.2,0.09,2.0
2022-11-13 15:13,Bus,2.0,0.1,2.0
2022-04-01 17:06,Bus,2.8,0.12,2.0
2022-08-20 22:13,Bus,1.1,0.04,2.0
2022-07-13 18:51,Bus,1.3,0.05,2.0
2022-08-23 13:27,Bus,4.2,0.18,2.0
2022-12-23 19:32,Bus,3.9,0.15,2.0
2022-09-14 18:42,Bus,4.7,0.16,2.0
2022-12-01 16:59,Bus,0.5,0.04,2.0
2022-09-04 11:56,Bus,1.0,0.04,2.0
2022-06-12 12:00,Bus,6.4,0.33,2.0
2022-10-04 18:48,Bus,2.0,0.07,2.0
2022-09-05 20:04,Bus,2.4,0.1,2.0
2022-07-11 08:29,Bus,3.9,0.23,2.0
2022-09-28 20:19,Bus,3.4,0.14,2.0
2022-12-03 23:06,Bus,5.4,0.19,2.0
2022-04-21 10:01,Bus,0.8,0.03,2.0
2022-06-27 15:22,Bus,3.3,0.19,2.0
2022-10-29 21:39,Bus,2.0,0.08,2.0
2022-07-07 19:57,Bus,2.7,0.09,2.0
2022-04-07 17:37,Bus,2.8,0.11,2.0
2022-04-02 18:01,Bus,3.0,0.08,2.0
2022-09-14 21:31,Bus,0.6,0.02,2.0
2022-09-29 10:29,Bus,3.8,0.12,2.0
2022-04-08 10:19,Bus,11.2,0.44,2.0
2022-04-29 21:03,Bus,5.8,0.33,2.0
2022-04-23 15:39,Bus,2.6,0.11,2.0
2022-12-31 07:42,Bus,3.3,0.12,2.0
2022-11-10 16:42,Bus,1.2,0.05,2.0
2022-06-24 18:27,Bus,5.7,0.19,2.0
2022-09-26 19:50,Bus,2.0,0.08,2.0
2022-01-29 23:01,Bus,0.9,0.03,2.0
2022-03-09 11:37,Bus,1.3,0.05,2.0
2022-08-13 08:19,Bus,3.4,0.11,2.0
2022-11-24 19:36,Bus,4.5,0.2,2.0
2022-05-10 08:20,Bus,1.5,0.1,2.0
2022-04-05 17:49,Bus,4.1,0.16,2.0
2022-11-14 09:18,Bus,4.1,0.15,2.0
2022-06-10 17:52,Bus,3.0,0.15,2.0
2022-07-29 09:09,Bus,5.6,0.22,2.0
2022-07-31 11:47,Bus,3.1,0.14,2.0
2022-07-11 17:08,Bus,1.0,0.04,2.0
2022-08-08 19:07,Bus,8.4,0.29,2.0
2022-09-08 16:09,Bus,1.9,0.08,2.0
2022-10-31 16:49,Bus,4.7,0.18,2.0
2022-08-04 06:37,Bus,1.6,0.08,2.0
2022-02-18 20:04,Bus,7.0,0.24,2.0
2022-07-02 19:41,Bus,2.7,0.11,2.0
2022-03-24 21:48,Bus,3.9,0.17,2.0
2022-06-14 12:39,Bus,4.7,0.24,2.0
2022-12-07 09:01,Bus,3.0,0.17,2.0
2022-06-04 19:27,Bus,3.7,0.15,2.0
2022-03-10 15:35,Bus,2.1,0.08,2.0
2022-03-22 15:18,Bus,4.0,0.15,2.0
2022-08-28 12:06,Bus,2.0,0.08,2.0
2022-04-04 10:13,Bus,4.3,0.15,2.0
2022-01-15 12:49,Bus,3.5,0.14,2.0
2022-04-17 08:06,Bus,3.5,0.11,2.0
2022-07-04 09:34,Bus,3.8,0.28,2.0
2022-07-25 13:19,Bus,0.7,0.04,2.0
2022-07-19 22:01,Bus,3.0,0.09,2.0
2022-02-18 21:42,Bus,2.1,0.07,2.0
2022-06-07 21:18,Bus,5.6,0.18,2.0
2022-07-30 15:15,Bus,1.3,0.04,2.0
2022-09-07 20:45,Bus,1.5,0.07,2.0
2022-06-27 16:33,Bus,1.6,0.07,2.0
2022-06-25 12:58,Bus,3.0,0.11,2.0
2022-03-04 12:47,Bus,7.8,0.26,2.0
2022-04-07 08:17,Bus,2.4,0.12,2.0
2022-12-07 21:52,Bus,2.6,0.11,2.0
2022-12-22 15:25,Bus,2.9,0.11,2.0
2022-03-23 08:06,Bus,2.7,0.18,2.0
2022-02-04 08:21,Bus,2.9,0.11,2.0
2022-09-20 19:42,Bus,0.8,0.03,2.0
2022-06-08 08:57,Bus,0.9,0.04,2.0
2022-04-23 07:19,Bus,3.7,0.15,2.0
2022-08-16 18:51,Bus,1.3,0.04,2.0
2022-12-06 19:46,Bus,3.9,0.21,2.0
2022-04-06 08:02,Bus,4.1,0.16,2.0
2022-06-29 09:33,Bus,4.0,0.13,2.0
2022-07-22 16:21,Bus,2.4,0.09,2.0
2022-05-23 23:42,Bus,1.5,0.04,2.0
2022-04-16 13:58,Bus,8.6,0.35,2.0
2022-10-27 16:22,Bus,2.2,0.08,2.0
2022-10-21 07:03,Bus,4.9,0.22,2.0
2022-06-22 21:08,Bus,2.8,0.13,2.0
2022-03-10 10:51,Bus,1.1,0.04,2.0
2022-06-02 16:06,Bus,2.3,0.13,2.0
2022-10-08 12:07,Bus,3.3,0.21,2.0
2022-12-27 09:15,Bus,2.4,0.12,2.0
2022-08-24 19:58,Bus,8.7,0.46,2.0
2022-06-01 20:55,Bus,1.8,0.06,2.0
2022-09-06 09:16,Bus,1.9,0.09,2.0
2022-05-07 16:20,Bus,1.7,0.07,2.0
2022-02-08 10:35,Bus,4.6,0.24,2.0
2022-02-05 20:27,Bus,1.4,0.06,2.0
2022-05-28 19:33,Bus,1.6,0.06,2.0
2022-10-22 20:50,Bus,1.3,0.05,2.0
2022-01-08 18:11,Bus,6.7,0.3,2.0
2022-08-09 18:54,Bus,4.1,0.15,2.0
2022-03-09 12:04,Bus,7.7,0.32,2.0
2022-08-01 09:43,Bus,4.6,0.24,2.0
2022-07-17 19:08,Bus,2.1,0.1,2.0
2022-07-19 18:21,Bus,9.0,0.32,2.0
2022-02-05 14:13,Bus,6.6,0.26,2.0
2022-01-09 19:55,Bus,1.9,0.08,2.0
2022-06-21 09:58,Bus,4.7,0.18,2.0
2022-04-18 17:01,Bus,4.4,0.17,2.0
2022-07-20 18:34,Bus,1.5,0.06,2.0
2022-07-16 13:13,Bus,2.3,0.09,2.0
2022-02-18 09:25,Bus,3.5,0.16,2.0
2022-07-09 21:17,Bus,2.5,0.09,2.0
2022-05-10 08:41,Bus,1.8,0.08,2.0
2022-09-07 17:16,Bus,4.2,0.28,2.0
2022-10-02 11:39,Bus,3.0,0.14,2.0
2022-08-09 18:13,Bus,4.9,0.16,2.0
2022-06-04 21:41,Bus,2.0,0.1,2.0
2022-06-28 07:35,Bus,8.9,0.38,2.0
2022-03-02 17:30,Bus,1.5,0.06,2.0
2022-01-03 18:52,Bus,1.1,0.04,2.0
2022-03-31 14:06,Bus,10.8,0.42,2.0
2022-09-09 21:42,Bus,1.1,0.04,2.0
2022-06-24 11:29,Bus,10.9,0.39,2.0
2022-12-23 20:42,Bus,3.9,0.19,2.0
2022-10-14 10:04,Bus,3.7,0.14,2.0
2022-05-17 20:53,Bus,9.3,0.35,2.0
2022-07-18 18:27,Bus,1.8,0.09,2.0
2022-02-25 18:14,Bus,2.9,0.12,2.0
2022-11-04 16:27,Bus,4.0,0.16,2.0
2022-03-25 20:53,Bus,5.7,0.23,2.0
2022-01-10 08:10,Bus,4.3,0.19,2.0
2022-03-19 21:32,Bus,0.8,0.03,2.0
2022-05-13 18:38,Bus,2.2,0.1,2.0
2022-08-30 16:05,Bus,2.8,0.11,2.0
2022-10-08 18:08,Bus,7.8,0.29,2.0
2022-07-12 22:32,Bus,1.1,0.05,2.0
2022-07-09 21:43,Bus,0.6,0.04,2.0
2022-09-07 19:56,Bus,10.0,0.46,2.0
2022-10-03 17:03,Bus,6.5,0.22,2.0
2022-10-20 19:14,Bus,1.0,0.04,2.0
2022-07-17 16:12,Bus,3.8,0.11,2.0
2022-07-19 10:52,Bus,1.1,0.04,2.0
2022-06-24 11:07,Bus,3.5,0.14,2.0
2022-01-01 22:32,Bus,0.7,0.03,2.0
2022-09-23 08:03,Bus,6.5,0.3,2.0
2022-06-10 11:30,Bus,1.5,0.06,2.0
2022-07-02 12:34,Bus,11.3,0.41,2.0
2022-11-25 18:39,Bus,2.1,0.09,2.0
2022-09-22 21:56,Bus,2.4,0.09,2.0
2022-05-04 11:20,Bus,3.2,0.15,2.0
2022-04-02 13:30,Bus,6.5,0.25,2.0
2022-08-26 11:38,Bus,0.6,0.02,2.0
2022-08-04 08:07,Bus,4.7,0.24,2.0
2022-03-29 16:02,Bus,4.5,0.2,2.0
2022-07-10 09:48,Bus,4.3,0.15,2.0
2022-12-31 22:27,Bus,2.7,0.12,2.0
2022-05-07 14:00,Bus,1.4,0.05,2.0
2022-04-20 18:04,Bus,5.3,0.24,2.0
2022-07-24 07:19,Bus,5.8,0.25,2.0
2022-06-24 07:22,Bus,2.8,0.1,2.0
2022-08-11 11:40,Bus,0.7,0.03,2.0
2022-06-29 08:14,Bus,2.1,0.18,2.0
2022-04-11 17:37,Bus,4.0,0.16,2.0
2022-05-28 20:00,Bus,3.5,0.13,2.0
2022-07-04 17:59,Bus,1.7,0.07,2.0
2022-04-15 18:21,Bus,3.3,0.14,2.0
2022-06-20 22:15,Bus,4.5,0.15,2.0
2022-08-12 19:56,Bus,4.0,0.18,2.0
2022-10-08 21:37,Bus,0.9,0.04,2.0
2022-01-20 20:53,Bus,2.9,0.13,2.0
2022-12-22 08:31,Bus,0.7,0.05,2.0
2022-02-03 16:27,Bus,6.3,0.34,2.0
2022-01-26 14:49,Bus,4.2,0.13,2.0
2022-06-24 17:32,Bus,3.2,0.1,2.0
2022-04-03 08:56,Bus,1.1,0.06,2.0
2022-09-13 21:00,Bus,4.5,0.14,2.0
2022-02-25 20:22,Bus,2.7,0.11,2.0
2022-06-10 17:04,Bus,1.8,0.09,2.0
2022-06-03 07:17,Bus,4.0,0.14,2.0
2022-01-31 18:48,Bus,6.4,0.24,2.0
2022-01-25 18:36,Bus,4.8,0.18,2.0
2022-08-20 16:12,Bus,3.4,0.15,2.0
2022-09-19 10:45,Bus,2.8,0.11,2.0
2022-05-07 14:08,Bus,2.1,0.1,2.0
2022-10-21 09:17,Bus,1.4,0.08,2.0
2022-09-16 19:13,Bus,4.1,0.18,2.0
2022-11-02 07:42,Bus,1.1,0.05,2.0
2022-12-13 22:25,Bus,4.7,0.13,2.0
2022-09-05 06:24,Bus,1.7,0.06,2.0
2022-02-12 18:34,Bus,0.6,0.02,2.0
2022-07-29 16:03,Bus,2.0,0.08,2.0
2022-12-15 11:08,Bus,3.0,0.12,2.0
2022-07-29 18:20,Bus,1.3,0.04,2.0
2022-09-23 20:54,Bus,1.5,0.05,2.0
2022-07-22 23:03,Bus,3.6,0.18,2.0
2022-06-27 18:53,Bus,4.1,0.18,2.0
2022-08-16 16:37,Bus,2.4,0.11,2.0
2022-04-14 17:17,Bus,1.7,0.09,2.0
2022-10-25 09:30,Bus,2.4,0.09,2.0
2022-06-01 15:04,Bus,1.8,0.08,2.0
2022-08-24 18:22,Bus,2.9,0.1,2.0
2022-07-23 11:58,Bus,10.6,0.45,2.0
2022-06-13 14:02,Bus,11.2,0.42,2.0
2022-06-15 14:54,Bus,2.0,0.08,2.0
2022-02-25 19:33,Bus,3.5,0.13,2.0
2022-05-20 20:35,Bus,2.3,0.08,2.0
2022-10-10 10:30,Bus,1.3,0.06,2.0
2022-04-10 09:11,Bus,5.0,0.18,2.0
2022-10-15 17:30,Bus,8.0,0.34,2.0
2022-06-15 10:42,Bus,8.0,0.28,2.0
2022-06-16 09:28,Bus,4.2,0.32,2.0
2022-04-15 18:00,Bus,1.5,0.08,2.0
2022-06-15 09:27,Bus,3.4,0.17,2.0
2022-02-03 19:19,Bus,11.9,0.43,2.0
2022-05-13 07:48,Bus,1.9,0.07,2.0
2022-05-10 08:01,Bus,1.0,0.04,2.0
2022-10-14 19:09,Bus,6.2,0.29,2.0
2022-06-07 17:35,Bus,0.6,0.02,2.0
2022-06-05 16:09,Bus,2.3,0.09,2.0
2022-04-15 17:39,Bus,0.8,0.03,2.0
2022-08-06 21:32,Bus,2.6,0.13,2.0
2022-07-07 08:05,Bus,2.3,0.08,2.0
2022-08-06 07:37,Bus,2.9,0.1,2.0
2022-10-24 10:43,Bus,1.6,0.05,2.0
2022-07-18 21:07,Bus,9.9,0.36,2.0
2022-07-13 17:16,Bus,1.5,0.08,2.0
2022-06-01 08:57,Bus,1.4,0.06,2.0
2022-08-21 11:32,Bus,3.1,0.12,2.0
2022-03-14 16:33,Bus,4.1,0.22,2.0
2022-10-28 10:52,Bus,6.9,0.26,2.0
2022-09-27 07:35,Bus,2.0,0.08,2.0
2022-05-13 22:52,Bus,3.5,0.11,2.0
2022-07-19 10:07,Bus,3.0,0.11,2.0
2022-06-29 17:39,Bus,5.4,0.18,2.0
2022-04-25 19:44,Bus,1.0,0.04,2.0
2022-06-25 21:55,Bus,4.2,0.21,2.0
2022-08-20 14:02,Bus,3.5,0.17,2.0
2022-07-05 08:57,Bus,5.1,0.21,2.0
2022-08-09 18:27,Bus,5.9,0.22,2.0
2022-10-28 22:46,Bus,3.1,0.14,2.0
2022-01-19 14:51,Bus,0.6,0.02,2.0
2022-05-28 21:20,Bus,8.6,0.33,2.0
2022-06-22 19:07,Bus,2.6,0.11,2.0
2022-11-24 20:07,Bus,0.8,0.03,2.0
2022-09-21 18:54,Bus,1.1,0.06,2.0
2022-09-02 14:06,Bus,1.6,0.05,2.0
2022-09-22 09:53,Bus,4.7,0.18,2.0
2022-11-10 12:56,Bus,3.3,0.16,2.0
2022-07-16 14:11,Bus,3.6,0.16,2.0
2022-06-30 21:04,Bus,7.4,0.25,2.0
2022-04-06 21:26,Bus,1.3,0.05,2.0
2022-09-23 08:30,Bus,4.8,0.22,2.0
2022-01-02 11:39,Bus,7.6,0.31,2.0
2022-04-30 20:19,Bus,4.8,0.21,2.0
2022-04-25 10:44,Bus,2.8,0.11,2.0
2022-06-01 17:45,Bus,5.8,0.23,2.0
2022-02-10 17:40,Bus,3.0,0.12,2.0
2022-08-16 21:56,Bus,2.8,0.11,2.0
2022-09-08 08:38,Bus,1.9,0.1,2.0
2022-04-25 13:54,Bus,1.1,0.05,2.0
2022-07-06 17:55,Bus,5.2,0.22,2.0
2022-07-09 22:29,Bus,1.6,0.09,2.0
2022-08-10 20:53,Bus,2.3,0.11,2.0
2022-10-08 08:23,Bus,8.7,0.29,2.0
2022-10-14 16:38,Bus,1.5,0.06,2.0
2022-09-13 18:02,Bus,1.8,0.1,2.0
2022-05-10 10:05,Bus,1.7,0.08,2.0
2022-09-02 17:48,Bus,6.1,0.22,2.0
2022-07-20 15:53,Bus,7.1,0.25,2.0
2022-09-27 15:49,Bus,4.1,0.2,2.0
2022-11-29 22:51,Bus,6.0,0.22,2.0
2022-09-02 07:54,Bus,3.7,0.16,2.0
2022-09-02 22:39,Bus,1.9,0.08,2.0
2022-07-09 23:57,Bus,9.1,0.31,2.0
2022-08-13 22:05,Bus,1.6,0.06,2.0
2022-09-29 19:18,Bus,1.2,0.06,2.0
2022-08-19 09:46,Bus,3.1,0.13,2.0
2022-06-22 10:58,Bus,2.6,0.1,2.0
2022-07-08 17:36,Bus,3.6,0.18,2.0
2022-02-28 22:13,Bus,3.5,0.12,2.0
2022-06-15 07:58,Bus,1.4,0.06,2.0
2022-12-08 15:19,Bus,4.4,0.19,2.0
2022-06-21 15:55,Bus,1.7,0.07,2.0
2022-11-11 20:07,Bus,2.4,0.09,2.0
2022-07-18 16:49,Bus,1.7,0.06,2.0
2022-12-01 17:41,Bus,3.4,0.17,2.0
2022-11-29 21:05,Bus,1.1,0.05,2.0
2022-05-18 20:42,Bus,3.1,0.12,2.0
2022-07-06 10:33,Bus,3.1,0.14,2.0
2022-08-04 20:03,Bus,3.6,0.16,2.0
2022-08-07 11:56,Bus,1.9,0.07,2.0
2022-02-19 22:21,Bus,4.0,0.15,2.0
2022-08-05 18:50,Bus,4.3,0.14,2.0
2022-04-08 07:27,Bus,2.3,0.14,2.0
2022-07-03 16:08,Bus,2.8,0.12,2.0
2022-08-05 08:20,Bus,3.7,0.27,2.0
2022-11-28 18:08,Bus,2.1,0.09,2.0
2022-10-04 14:52,Bus,1.3,0.05,2.0
2022-07-01 20:07,Bus,1.2,0.05,2.0
2022-08-20 14:04,Bus,2.0,0.08,2.0
2022-05-21 16:06,Bus,3.6,0.19,2.0
2022-02-17 10:58,Bus,4.3,0.22,2.0
2022-09-14 14:58,Bus,2.8,0.15,2.0
2022-07-08 17:41,Bus,0.9,0.04,2.0
2022-06-23 16:50,Bus,5.9,0.44,2.0
2022-03-24 21:52,Bus,2.2,0.1,2.0
2022-04-25 17:47,Bus,2.4,0.07,2.0
2022-04-10 07:41,Bus,4.2,0.15,2.0
2022-03-25 20:15,Bus,6.2,0.24,2.0
2022-08-02 09:33,Bus,5.6,0.2,2.0
2022-11-29 12:59,Bus,2.0,0.09,2.0
2022-03-30 14:27,Bus,2.5,0.09,2.0
2022-06-13 09:48,Bus,5.2,0.19,2.0
2022-05-12 13:51,Bus,2.3,0.11,2.0
2022-07-02 14:49,Bus,3.4,0.12,2.0
2022-10-19 07:18,Bus,3.1,0.11,2.0
2022-05-10 21:48,Bus,5.6,0.2,2.0
2022-03-19 22:57,Bus,3.9,0.14,2.0
2022-07-19 20:06,Bus,3.6,0.17,2.0
2022-12-15 19:23,Bus,1.6,0.06,2.0
2022-07-24 20:04,Bus,1.2,0.04,2.0
2022-07-13 07:05,Bus,4.0,0.15,2.0
2022-09-02 20:24,Bus,2.6,0.12,2.0
2022-07-22 09:32,Bus,2.8,0.15,2.0
2022-09-30 06:46,Bus,8.7,0.37,2.0
2022-08-24 06:06,Bus,0.8,0.05,2.0
2022-09-14 17:42,Bus,2.8,0.1,2.0
2022-05-10 08:15,Bus,3.1,0.17,2.0
2022-04-07 19:04,Bus,2.0,0.08,2.0
2022-05-15 16:23,Bus,5.7,0.26,2.0
2022-12-20 21:03,Bus,2.2,0.08,2.0
2022-08-06 13:08,Bus,2.6,0.13,2.0
2022-11-19 11:20,Bus,1.8,0.08,2.0
2022-06-13 10:06,Bus,2.6,0.11,2.0
2022-08-20 21:46,Bus,3.4,0.15,2.0
2022-08-10 13:03,Bus,2.4,0.12,2.0
2022-12-18 22:45,Bus,1.0,0.03,2.0
2022-12-30 07:35,Bus,3.3,0.14,2.0
2022-09-19 19:45,Bus,2.9,0.11,2.0
2022-11-02 14:09,Bus,4.5,0.17,2.0
2022-09-16 11:40,Bus,2.5,0.08,2.0
2022-07-19 18:28,Bus,2.3,0.09,2.0
2022-06-16 09:26,Bus,3.2,0.15,2.0
2022-04-11 08:18,Bus,3.5,0.14,2.0
2022-06-20 12:53,Bus,5.9,0.22,2.0
2022-06-28 18:27,Bus,7.9,0.27,2.0
2022-10-07 09:57,Bus,2.2,0.07,2.0
2022-07-16 21:35,Bus,2.4,0.1,2.0
2022-09-15 19:07,Bus,1.3,0.04,2.0
2022-04-11 20:38,Bus,2.6,0.1,2.0
2022-05-26 18:18,Bus,4.6,0.28,2.0
2022-11-18 21:08,Bus,3.6,0.13,2.0
2022-11-27 12:36,Bus,13.2,0.54,2.0
2022-07-15 19:59,Bus,3.6,0.15,2.0
2022-04-22 20:19,Bus,0.9,0.03,2.0
2022-07-13 09:48,Bus,1.7,0.05,2.0
2022-01-01 20:07,Bus,6.9,0.26,2.0
2022-06-28 21:24,Bus,3.8,0.26,2.0
2022-04-15 14:51,Bus,2.8,0.1,2.0
2022-04-07 10:50,Bus,1.4,0.07,2.0
2022-07-20 20:24,Bus,4.1,0.19,2.0
2022-09-02 15:06,Bus,11.5,0.52,2.0
2022-10-18 12:58,Bus,2.7,0.12,2.0
